	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YOR314W	-0.2	-0.59	-0.59	-0.73	0.07	-0.24	1.28	-1.12	0.13	0.28	-0.38	-0.03	0.22	-0.57	0.89	0.14	0.6	0.17	0.44	0.93	0.9	-0.83	-0.06	-0.71
YOR315W	-0.16	-0.12	0.03	-0.18	-0.2	-0.01	-0.08	0.32	0.18	0.03	0.23	0.08	-0.07	0.03	-0.04	-0.1	0.03	-0.07	0.21	-0.01	0.1	0.01	0.01	-0.25
YOR316C	0.33	0.33	-0.03	-0.24		-0.04	0.37	-0.55	0.44	-0.39	0.19		0.43	-0.08	0.25	-0.45		-0.43	0.39	0.18	0.97	-0.55	-0.52	-0.6
YOR317W	0.45	0.26	0.23	-0.33	-0.35	-0.01	-0.33	0.09	-0.23	0.16	0.03	-0.06	0.01	0.37	-0.01	-0.38	0.26	-0.19	0.29	-0.17	0.07	0.05	-0.13	-0.08
YOR318C	0.04	0.21	0.01	-0.1	-0.19	-0.14	-0.07	0.07	-0.28	0.08	-0.42	1.02	-0.14	-0.02	-0.55	0.01	0.01	0.21	0.11	-0.38	0.26	0.15	-0.1	0.21
YOR319W	0.97	1.19	0.66	-0.67	-0.28	-0.33	-0.2	0.21	-0.42	0.03	-0.35	0.08	0.06	-0.01	-0.28	-0.22	-0.12	-0.12	0.54	-0.23	-0.4	0.26	-0.3	-0.09
YOR320C	0.21	0.32	-0.05	0.04	0.12	0.14	-0.06	-0.03	0.01	-0.18	-0.24	0.2	-0.13	0.05	-0.03	-0.06	0.21	-0.18	0.51	-0.76	0.48	-0.14	-0.24	-0.18
YOR321W	0.08	0.47	0.01	-0.11	-0.43	0.04	0.14	0.24	-0.19	0.32	-0.19	0.2	-0.3	0.15	-0.21	0.09	-0.06	-0.1	-0.06	-0.45	0.08	0.31	-0.02	0
YOR322C	-0.29	0.04	0.13	-0.2	0.62	-0.24	0.04	-0.16	-0.31	-0.05	0.22	-0.31	0.47	-0.02	0.26	-0.31	0.07	-0.56	0.22	-0.11	0.45	0.11	0.04	-0.14
YOR323C	-1.52	-0.6	0.36	0.88	1.19	0.78	0.35	-0.29	-0.09	-0.73	-0.18	0.22	0.63	0.33	-0.15	0.19	0.99	0.28	0.19	-0.78	-0.36	-0.83	-0.54	-0.32
YOR324C	-1.51	-0.8	0.35	0.97	1.22	0.9	-0.14	-0.16	-0.43	-0.76	-0.36	0.32	0.57	0.43	0.92	0.54	0.94	0.35	0.32	-1.92	-0.26	-0.7	-0.53	-0.26
YOR325W	-0.17	-0.05	0.38	0.61	0.83	0.56	0.25	-0.14	-0.24	-0.29	-0.22	-0.02	-0.1	0.07	-0.45	0.07	0.6	0.26	0	-0.32	-0.17	-0.8	-0.42	-0.24
YOR326W	-0.2	-0.17	0.23	0.5	0.44	0.61	-0.31	0.38	0.16	0.26	-0.17	0.29	0.06	0.18	0.1	0.25	0.31	-0.77	-0.42	-1.27	-0.2	-0.15	-0.08	0
YOR327C	0.24	0.45	0.23	0.11	0.22	0.04	-0.1	0.03	-0.07	0.16	-0.08	-0.13	-0.48	-0.03	-0.13	-0.08	0.07	0	-0.23	0.35	0.02	-0.27	-0.22	-0.11
YOR328W	0.73	0.84	0.82	0.25	-0.36	0.38	-0.33	0.45	-0.52	0.47	-0.33	0.15	-0.44	0	-0.52	0.28	-0.15	0.18	-0.94	-0.83	-0.44	0.39	-0.02	-0.06
YOR329C	0.28	0.3	0.26	-0.24	0.24	-0.24	-0.05	-0.42	-0.14	-0.03	-0.34	0.31	-0.3	-0.32	0.49		0.58	-0.34	0.4	0.38	0.67	-0.36	-0.63	-0.49
YOR330C	0.56	0.5	0.61	0.54	-0.19	0.4	-0.4	0.27	-0.45	0.25	-0.5	0.15	-0.48	0.28	-0.43	0.2	-0.21	0.31	-0.94	-1.01	-0.45	0.39	0.25	0.36
YOR331C	-0.42	-0.52	0.3	0.67	0.22	0.67	0.2	0.32	-0.82	-0.1	-0.78	-0.21	-0.66	0.26	0.18	0.2	0.13	0.34	-0.13	0.32	-0.49	0.06	0.02	0.28
YOR332W	0.06	-0.09	0.64	0.97	0.25	1.04	-0.42	0.58	-0.83	0.03	-1.06	0.19	-0.5	0.5	-0.34	0.66	-0.09	0.72	-1.19	-1.06	-1.06	0.34	0.11	0.56
YOR333C	0.15	0.29	0.44	-0.03	-0.21	-0.14	-0.63	-0.09	-0.52	0.13	-0.47	0.2	-0.24	0.17	-0.16	-0.03	0.35	-0.17	-0.19	-0.22	-0.07	0.35	0.37	0.7
YOR334W	-0.15	0.12	0.14	-0.42	-0.07	-0.3		-0.14	-0.02	-0.24	0.14	-0.07	0.27	-0.19	0.28	-0.15	0.06	-0.26	0.58	0.44	0.86	-0.67	-0.22	0.01
YOR335C		0.17	-0.04	0.02	0.05	0.5	-0.35	-0.01	-0.13	-0.42	-0.42	0.05	0.38	-0.09	0.1	-0.04	-0.13	-0.11	0.36	0.32	0.05	-0.46	-0.08	0.28
YOR336W	-0.39	0.65	-0.12	-0.43	0.25	-0.54		-0.41	0.07	-0.31	0.13		0.7		0.6	-0.04		-0.39	0.76	0.66	0.89	-1	-0.57	-0.54
YOR337W		-0.78	0	0.62	0.64	0.45	2.02	-0.32	-0.78	-0.9	-0.7	-0.16	0.08	0.42	0.46	0.34	0.55	-0.16	0.32	-0.34	-0.42	-0.64	-0.36	-0.36
YOR338W	-0.47	-0.43	-0.37	-0.14	-0.23	-0.14	0.1	-0.03	-0.26	0.01	-0.34	-0.02	-0.09	0.66	0.19	-0.25	-0.05	0.03	0.36	0.33	0.78	0.06	0.07	0.24
YOR339C	-0.19	0.47	0.34	0.06	0.09	0.16	-0.04	0.2	-0.13	-0.2	-0.5	0.4	-0.05	-0.05	-0.08	0.01	0.29	-0.07	0.42	0.07	-0.07	-0.31	-0.35	-0.46
YOR340C	0.15	-0.02	-0.2	-0.12	-0.45	-0.16	-0.14	0.3	-0.55	0.27	-0.36	0.1	-0.33	0.06	-0.11	-0.3	-0.06	0.06	0.3	0.65	0.26	0.29	0.12	0.19
YOR341W	-0.8	-0.97	-0.72	-0.12	0.27	0.24	0.19	0.2	0.46	0.29	0.35	0.47	0.42	0.01	0.25	0.09	-0.12	0.09	0.03	-0.89	0.54	-0.05	-0.1	-0.1
YOR342C	-0.18	0.18	-0.66		0.23	-0.25			0.38	-0.25	-0.04		0.25		0.42	-0.07		-0.33	0.62	-0.1	1.2	-0.75		-0.63
YOR343C	-0.29	0.16	0.31	0.33		0.25		0.1		-0.17		-0.21	-0.14	-0.09		-0.04		-0.14		0.43		-0.21	-0.3	0
YOR344C	-0.57	-0.44	-0.57	-0.14	0.3	-0.19	0.12	-0.33	-0.04	-0.35	1.34	0.77	0.43		0.72	-0.51	0.49	-0.33		-0.16	0.98	-0.93	-0.01	-0.57
YOR345C	0.25	0.13	-0.04	0.18	0.01	-0.04	-0.28	-0.07	-0.03	0.02	-0.29	-0.22	-0.2	-0.14	0.11	-0.22	0.37	-0.2	0.4	0.31	0.37	-0.16	-0.2	-0.07
YOR346W	-0.13	0.04	0.13	0.57	0.01		0.44		-0.18	0.11	-0.05	0.25	-0.38	0.35	-0.13	-0.51	-0.07	0.02	0.11	0.2	-0.27	-0.18	-0.12	-0.18
YOR347C	0.24	0.24	0.14	-0.07	0.04	-0.56	0.01	-0.05	-0.17	0.14	-0.03	0.09	-0.05	0.08	0.16	-0.86	0.09	-0.23	0.09	-0.13	0.14	0.08	0.53	0.08
YOR348C	-0.51	0.42	0.03			-0.17				-0.25	0.06		0.18		0.64	-0.66	0.99	-0.13	0.9	0.54		-1.36	-0.19	-0.48
YOR349W	0.46	-0.02	-0.21	-0.03	0.14	-0.3	0.16	0.04	0.16	-0.08	-0.05	0.45	0	-0.26	0.2	-0.16	0.42	-0.28	0.54	-0.35	0.76	-0.45	-0.43	-0.69
YOR350C	0	0.31	0.26	0.18	-0.69	0.33	-0.37	0.28	-0.84	0.29	-0.19	0.1	-0.43	0.41	-0.27	0.45	-0.14	0.24	-0.29	0.18	0.02	0.24	0.02	-0.09
YOR351C	-0.12	0.05	0.03	0.24	0.29	0.32	0.12	0.05	-0.18	-0.02	-0.32	0.37	-0.08	0.14	0.36	0.03	0.35	-0.06	-0.1	-0.46	-0.29	-0.29	-0.2	-0.23
YOR352W	0	0.12	0.35	0.41	-0.77	0.55	-0.4	0.06	-0.57	0.23	-0.22	0.44	-0.27	0.47	-0.29	0.28	0.23	0.33	-0.22	-0.32	-0.04	-0.13	-0.13	-0.13
YOR353C	-0.34	0.29	-0.7	-0.09	0.26		0.87	0.2	0.43	-0.34	-0.12		0.26	-0.38		-0.7		-0.32		0.3	1.13	-0.73		
YOR354C	-0.1	0.08	-0.04	-0.27	-0.78	-0.01	-0.48	-0.19	-0.47	0.63	0.62	0.59	0.19	-0.16	-0.63	-0.24	0.27	-0.08	-0.02	-0.44	1.07	0.33	0.18	-0.05
YOR355W	-0.67	0.98	0.22	-0.07	-0.44	-0.31	-0.42	-0.33	-0.41	1.29	1.1	1.11	-1.31	0.1	0.06	-0.33	-0.21	-0.44	-0.86	-0.74	0.43	0.76	0.3	0.18
YOR356W	-0.15	-0.39	-0.3	0.03	-0.33	0.24	0.12	0.25	-0.71	0.21	-0.11	0.08	-0.44	0.2	-0.22	0.23	0	0.13	-0.12	-0.02	0.27	0.33	0.23	0.46
YOR357C	1.14	1.15	0.41	0.31	0.33	0.25	0.22	0.39	0.27	0.34	-0.07	-0.12	-0.5	-0.29	-0.23	0.18	0.12	-0.18	-0.16	-0.96	-0.5	-0.37	-0.78	-0.93
YOR358W	0.32	0.43	0.11	0.02	-0.13	-0.12	0.36	-0.01	0.08	-0.09	0.2	0.02	-0.03	-0.12	0.27	0.03	-0.35	-0.02	-0.17	-0.16	0.19	-0.23	-0.35	-0.28
YOR359W	-0.53	0.36	-0.07	0.17	0.06	0.12	0.15	0.44	0.06	0.3	-0.09	0.21	-0.35	-0.19	0.05	0.42	0.38	0.35	-0.16	-0.87	0.01	-0.13	-0.3	-0.38
YOR360C	0.45	0.66	0.26	0.26	-0.48	-0.66	-0.45	0.18	-0.78	0.23	0	0.25	-0.29	0.83	-0.24	0.25	-1.26	0	-0.33	0.41	-0.16	0.42	0.28	0.2
YOR361C		0.49	0.05	0.16		-0.57		-0.48		-0.25				0.51		-0.28				0.84		-0.31		-0.15
YOR362C	-0.82	0.25	0.59	-0.2	-0.07	-0.18		0.11	-0.09	-0.04	0.32	0.13	0.07	0.37	0.08	-0.03		-0.21	0.11	-0.27	0.21	-0.2	-0.06	-0.07
YOR363C		0.57	0.2	0.09	0.7	-0.34		-0.59		-0.22	0.57		0.2			-0.59		0				-0.34	-0.11	-0.15
YOR364W	-0.55	0.16	0.16	-0.41	-0.09	-0.7	0.07	-0.14	-0.22	-0.07	0.52	-0.51	0.26	-0.36	0.42	-0.27	0.62	-0.59	0.33	0.39	1.06	-0.02	0.21	-0.27
YOR365C	-0.83	-1.37	-1.65	-0.78		-0.32		0.3		0.59		0.18		0.03		0.22		0.52			0.49	0.94	0.79	0.88
YOR366W	-0.23	-0.02	-0.32	0.15	-0.1	-0.09	-0.19	0.14	-0.22	0.39	0.05	-0.02	-0.29	-0.16	0.09	-0.06	-0.2	-0.17	0.09	-0.14	0.96	0.43	0.2	-0.26
YOR367W	0.05	0.13	0.05	0.1		0.01		0.06		0.19		-0.15		-0.25		-0.11		-0.34				0.11	0.07	0.1
YOR368W	0.31	0.53	0.36	0.73	-0.48	-0.14	0	0.17	-0.74	0.27	-0.13	0.14	-0.02	0.07	-0.42	-0.1	-0.4	-0.18	-0.2	-0.16	0.17	-0.08	0.09	0.2
YOR369C	0.67	0.42	0.04	-0.19	0.01	-0.28	0.1	-0.07	0.24	-0.08	-0.03	0.09	-0.22	-0.17	0.08	-0.2	0.04	-0.26	0.59	-0.34	0.58	-0.35	-0.5	-0.2
YOR370C	-0.72	-0.98	-0.89	-0.35	-0.76	0.22	0.2	-0.15	-0.05	0.35	0.43	0.48	0.18	0	-0.29	0.3	0.53	0.32	0.16	-0.35	0.68	0.22	0.3	0.18
YOR371C	-0.29	0.83	0.25	0.22		-0.42	0.75	-0.07	0.3	-0.04	0.24		0.04	-0.17		-0.34		-0.22				-0.32	-0.62	-0.13
YOR372C	0.1	0.21	-0.08	-0.08	0.03	-0.48		-0.61	-0.08	-0.54	0.72		-0.3		0.35	-0.21		-0.73	0.7	0.3	0.89	0.12	-0.08	-0.24
YOR373W	0.02	-0.14	-0.14	0.25	0.52	0.24	0.28	0.12	0.32	0.17	-0.04	0.05	-0.13	-0.07	0.29	0.04	0.62	0.16	0.04	-0.94	-0.03	-0.55	-0.53	-0.53
YOR374W	0.59	0.26	0.26	0.13	-0.56	0.08	-0.76	0.16	-0.81	0.24	-0.34	0.08	-0.29	-0.04	-0.56	0.36	-0.08	0.31	-0.16	-0.04	0.04	0.35	0.35	0.4
YOR375C	0.15	0.36	0.04	-0.1	-0.13	-0.16	0.25	-0.21	0.05	0.02	0.14	-0.1	-0.16	-0.29	0.41	-0.24	0.1	-0.22	0.1	0.07	0.52	0.23	-0.24	-0.62
YOR376W	-0.06	0.26	0.32	-0.24	-0.53	-0.03	0.36	0.22	-0.41	-0.07	-0.17	-0.69	-0.47	-0.55	-0.15	-0.28	0.24	-0.28	0.33	0.5	0.54	0.37	0.39	0.39
YOR377W	-0.57	-0.23	-0.73	-0.42	-0.38	-0.16	-0.34	0.03	-0.11	0.06	-0.23	0.12	-0.08	-0.14	-0.01	-0.38	0.09	-0.09	-0.3	0.65	0.64	0.99	0.75	0.82
YOR378W	0.49	0.52	1.16	0.4	-0.55	0.02	0.25	0.02	-0.81	0.49	-0.49	0.11	-0.63	-0.31	-0.17	-0.09	-0.24	-0.17	-0.55	-0.28	-0.1	0.2	0.32	0.41
YOR379C	0.05	-0.12	-0.6	-0.96	0.28	0.16	0.34	0.18	0.59	0.2	0.34	-0.12	0.16	-0.26	0.16	-0.66	0.47	-0.1	-0.16	-0.31	0.39	0.08	0.03	-0.12
YOR380W	0.2	0.01	-0.19	0.07	-0.4	0.27	0.07	0.11	-0.19	0.08	0.25	-0.34	-0.22	-0.3	0.14	-0.01	0.26	0.02	0.57	-0.4	0.24	0.2	-0.04	-0.42
YOR381W	-0.39	-0.39	-0.07	0.06	0.42	-0.12	0.54	0.06	0.21		-0.36	-0.24	0.06	-0.33	0.84	-0.26	0.43	0.1	0.45	-0.42	0.67	-0.39	-0.47	-0.38
YOR382W	0.01	-0.26	-0.07	-0.58	0.14	-0.37	0.41	-0.29	-0.09	-0.31	0.53		0.39	-0.14	0.4	-0.01		-0.37	0.73	0.27	0.87	-0.82	0.38	-0.82
YOR383C	-0.5	-0.47	-0.8	-0.54	0.38	-0.23	0.8	-0.31	0.11	-0.45	0.38	-0.45	0.5	-0.36	0.67	-0.21	0.64	-0.32	1.03	0.48	1.09	-0.42	-0.39	-0.63
YOR384W	-0.24	-0.07	0	-0.47	0.33	-0.25	0.76	-0.31	0.07	-0.07	0.57		0.37	-0.29	0.4	0.1		-0.49	0.6	-0.15	0.66	-0.56	-0.22	-0.75
YOR385W	0.13	0.25	0.09	0.02		-0.15		-0.13		-0.02		0.94	0.28	-0.18		-0.16		-0.3		0.25		-0.3	-0.26	-0.47
YOR386W	0.01	0.75	0.34	0.36	0.09	0.16	0.31	-0.06	-0.26	-0.02	0.14	-0.02	-0.09	-0.02	-0.19	0.14		-0.26	-0.04	-0.38	-0.13	-0.24	-0.19	-0.38
YOR387C	0.16	0.25	0.07	0.51		0.23		-0.22		-0.05				-0.37		-0.49		-0.29				-0.26	0.69	-0.22
YOR388C	-1.26	-0.51	-0.13	0.46	0.44	0.71	0.48	0.6	-0.26	0.35	-0.36	0.16	-0.44	0.11	0.34	0.1	-2.6	0.27	-0.04	0.16	0.37	0.33	0.27	0.44
YOR389W	0.27	-0.5	-0.89	-0.65		-0.17		-0.25		0.16		0.19		0.09		-0.53		-0.47		0.23		0.57	0.53	1.41
YOR390W	-0.58	0.08	0.07		0.29	-0.18	0.36	-0.32	-0.1	-0.11	0.23	0.47	0.42	0.17	0.14	-0.1	-0.17	-0.53	0.65	0.36	0.5	-0.76	-0.15	-0.73
YOR391C	-0.39	-0.31	0.6	1.01	0.74	0.39	0.01	-0.35	-0.42	-0.35	-0.22	0.16	0.16	0.61	0.58	0.42	0.24	-0.11	0.19	-0.64	-0.73	-0.54	-0.62	-0.42
YOR392W	-0.5	0.29	0.08	0.02	-0.07	-0.2	0.16	0.31	0.05	0.07	-0.09	0.49	-0.2	0.58	-0.14	-0.06	-0.22	-0.33	0.36	0.05	0.13	-0.22	-0.13	-0.43
YOR393W	0.31	0.2	0.15	-0.21		-0.27		0.04		0.06		0.2		0.06		-0.19		-0.15				-0.03	0.01	-0.19
YOR394W	-0.36	-0.02	0.18	0.33	-0.78	0.65	-0.07	0.58	-0.48	0.57	0.05	0.5	-0.32	0.41	-0.42	0.2	-0.32	0.5	-0.61	-0.42	-0.59	0.15	0.1	0.17
YPL001W	-0.1	-0.12	0.07	0.11	0.33	-0.1	0.24	-0.33	0.33	-0.05	-0.07	0.21	-0.37	0.05	0.32	-0.31	0.23	-0.13	0.12	-0.41	0.17	-0.07	-0.04	-0.1
YPL002C	0	0.1	0.28	0.15	-0.84	0.3	-0.28	0.28	-0.78	0.32	-0.42	0.01	-0.42	-0.05	-0.32	0.1	-0.14	0.22	-0.38	0.01	-0.02	0.62	0.47	0.79
YPL003W	-0.02	0.3	0.02	-0.26	-0.22	-0.67	2.25	0.02	0.23	-0.14	0.17		0.33	-0.59		-0.64	0.95	-0.22		0.34		-0.57	-0.57	-0.73
YPL004C	0.49	0.67	0.56	0.46	0.28	-0.44	0.49	-0.09	0.01	-0.35	-0.44		-0.25	-0.71	0.38	-0.2	0.46	-0.31	0.09	0	0.27	-0.53	-0.63	-0.21
YPL005W	0.71	-0.92	0.23	-0.23	0.59	-0.27	0.28	-0.13	0.39	0.19	0.36		-0.45	-0.12		0.01		-0.01	0.5	-0.06		-0.19	-0.48	-0.38
YPL006W	-0.07	-0.02	0.19	0.31	0.18	0.14	0.42	0.3	0.17	-0.14	-0.11	-0.32	-0.19	-0.07	0.21	0.02	-0.11	0.02	-0.64	0.1	0.08	-0.14	-0.04	-0.28
YPL007C	-0.4	-0.35	-0.18	-0.18	-0.29	-0.78	-0.45	-0.05	-0.45	0.3	-0.38	0.38	-0.63	0.25	-0.18	0.19	-0.01	0.44	-0.33	0.36	0.06	0.98	0.81	0.88
YPL008W	0.28	0.31	0.45	0.07	-0.05	-0.14	-0.15	-0.33	-0.23	-0.1	-0.15	0.08	0.1	0.08	1.32	-0.41	-0.21	-0.19	-0.27	-0.25	0.21	0.05	-0.14	-0.33
YPL009C	0.21	0.38	0.06	-0.21	-0.48	0	0.34	-0.1	-0.67	-0.05	0.05	-0.09	-0.21	-0.07	-0.16	0.19	-0.17	-0.09	-0.07	0.78	0.18	0.11	0	0.08
YPL010W	-0.12	0.03	-0.1	0.14	0.4	-0.12	0.51	-0.27	0.37	-0.12	0.3		0.15		0.45	-0.46	0.25	-0.16	0.12	-0.33	0.65	-0.7	-0.16	-0.84
YPL011C	-0.42	-0.34	-0.07	-0.12	-0.27	-0.06	-0.46	0.18	-0.34	0.24	-0.23	0.36	-0.46	0.05	0.01	-0.06	0.02	-0.12	-0.12	0.08	0.36	0.68	0.48	0.62
YPL012W	-0.64	0.11	0.03	-0.1	-0.27	0	0.35	0.03	-0.57	0.03	0.04	0.08	-0.3	0.01	-0.03	-0.07	-0.27	-0.03	0.14	0.24	0.39	0.12	0.19	0.52
YPL013C	-0.23	0.13	-0.28	-0.14	0.19	-0.12		0.15		0.08		-0.04		0.12	0.8	-0.43		-0.08		0.22		-0.12	-0.02	-0.21
YPL014W	0.12	-0.19	-0.38	-0.22	0.19	0.16	0.3	-0.01	0.07	-0.07	0.12	-0.01	0.01	-0.13	-0.01	-0.22	0.07	0.01	0.68	-0.22	0.37	-0.13	-0.28	-0.22
YPL015C	-0.42	-0.81	-0.74	-0.64	-0.11	-0.35	0.1	0.03	-0.36	0.27	0.08	0.08	-0.08	-0.06	-0.12	-0.01	-0.2	-0.05	0.66	0.45	0.49	0.83	0.46	0.49
YPL016W	0.32	0.46	0.31	0.02	-0.32	0.15	-0.23	0.19	-0.7	0.3	-0.18	0.18	-0.28	0.09	-0.1	0.22	-0.21	-0.16	0.05	-0.23	-0.33	0.3	0.07	0.09
YPL017C	0.16	0.14	0.21	-0.05		-0.02		0.11		0.18		0.04		0.01		-1.87		0.01				0.37	0.22	0.48
YPL018W	-0.39	-0.03	-0.22	-0.51	0.37	-0.23	0.4	-0.27	0.04	-0.03	0.3		0.38	-0.11	0.65	-0.39	0.32	-0.47	1.03	0.11	1.08	-0.71	-0.49	-0.83
YPL019C	0.25	0.19	0.04	-0.12		-0.04				0.01		0.11		-0.02		-0.75		-0.28		0.36		0.16	0.13	-0.04
YPL020C	-0.19	0.17	-0.1	0.46	0.14	-0.43	0.31	0.01	-0.03	-0.17	-0.36	0.17	-0.4	-0.12	0.35	-0.19	0.23	0.17	0.75	-0.01	0.68	-0.57	-0.62	-0.23
YPL021W	-2.4	-3.19	-3.4	-0.16	-0.48	0.55	0.46	1.29	0.77	0.62	-0.54	0.36	-0.23	0.38	0.38	-0.96	0.61	1.26	1.34	0.26	0.72	0.71	0.67	0.97
YPL022W	-0.39	-0.8	-0.88	-0.27	-0.39	-0.31	-0.26	-0.02	-0.23	0.32	-0.08	0.35	-0.05	0.24	0.22	0.12	0.09	0.18	0.62	-0.02	-0.09	0.62	0.49	0.51
YPL023C	-0.27	-0.26	-0.31	-0.27	0.09	0.16	-0.11	0.38	-0.34	-0.27	-0.16	-0.14	0.09	0.2	0.29		0.28	0.01	0.34	0.17	0.69	-0.22	-0.08	-0.27
YPL024W	0.98	0.67	0.26	0.62	-0.33	0.67	0.08	0.6	-0.6	0.06	-0.54	-0.63	-0.5	0.02	-0.44	0.4	-0.12	0.48	-0.6	-0.27	-0.57	0.12	-0.14	-0.22
YPL025C	0.01	-0.3	-0.32	0.38	0.1	0.13	-0.04	0.3	-0.33	0.16	-0.53	-0.06	-0.58	0.07	0.37	0.69	0.47	0.49	-0.29	-0.14	-0.5	0.18	-0.1	-0.17
YPL026C	-0.11	0.78	0.52	-0.12	-0.38	-0.09	0.67	-0.22	-0.2	0.29	0.59	0.07	-0.65	-0.32	0.11	-0.22	-0.4	-0.15	-0.15	-0.5	0.44	-0.12	0.01	0.14
YPL027W	0.85	1.04	0.45	0.14	-0.51	-0.16	-0.53	0.07	-0.2	0.83	0.59	0.59	-0.33	-0.08	-0.4	0.19	-0.29	-0.02	-0.84	-0.59	-0.57	0.08	-0.03	-0.26
YPL028W	0.35	0.28	0.35	0.27	0.06	0.25	0.29	0.28	-0.18	0.17	-0.11	-0.11	-0.53	0.19	-0.21	0.14	-0.53	-0.03	-0.29	-0.45	-0.27	0.14	0.01	-0.09
YPL029W	0.91	0.62	0.58	0.24	-0.12	0.43	-0.01	0.27	-0.62	0.27	-0.47	-0.17	-1.01	-0.06	-0.59	0.3	-0.17	0.34	-0.62	0.35	-0.65	0.15	-0.17	0.18
YPL030W	0.67	0.88	0.2	0.04	-0.26	0.81	0.2	0.04	-0.21	-0.15	-0.07	-0.56	-0.12	-0.8	0.26	0.14	0.02	0.07	-0.26	-0.52	0.3	-0.12	-0.23	-0.36
YPL031C	1.84	1.25	1.31	0.13	0.01	0.37	-0.1	0.7	-0.09	-0.19	-0.67	-0.17	-0.6	-0.1	-0.97	0.16	-0.22	0.05	-0.31	-0.41	-0.59	-0.47	-0.54	-0.42
YPL032C	0.34	0.16	0.12	-0.05	-0.64	0.35	-0.05	0.3	-0.36	0.26	0.01	0.07	-0.15	-0.02	0.09	0.23	-0.14	0.23	-0.62	-0.49	0.23	0.13	-0.08	0.04
YPL033C	-0.18	-0.12	0.06	0.22	0.34	-0.02	-0.24	0.11	0.2	0.08	-0.24	0.11	0.17	0.1	-0.05	-0.16	-0.29	-0.22	0.43	-0.14	0.85	-0.46	-0.36	-0.18
YPL034W	0.27	0.28	0.43	0.35	0.22	0.39	0.12	0.21	-0.18	0.18	-0.07	0	-0.22	0.03	0.05	0.05	-0.14	0.02	-0.56	-0.58	-0.05	-0.05	-0.3	-0.41
YPL035C	0.3	0.13	0.06	-0.05	0	-0.08	-0.08	0.23	0.06	0.23	-0.28	0.35	-0.47	-0.1	0.27	-0.01		-0.13	-0.05	-0.2	0.34	-0.12	-0.07	-0.32
YPL036W	-0.36	-1.34	-1.5	-0.25	0.44	0.36	1.15	0.61	1.09	-0.19	0.09	-0.58	-0.19	-0.65	0.36	-0.52	0.96	0.07	1.3	0.59	0.81	-0.7	-0.75	-0.8
YPL037C		0.03	0.15	0.14	-0.08	0.25	-0.22		-0.27	0.23	0.12	0.34	-0.4	0.19	-0.41	-0.02	-0.35	0.21	-0.18	-0.21	-0.36	0.32	0.15	0.37
YPL038W	-0.13	0.16	-0.28	-0.1	0.24	-0.46	0.45	-0.11	-0.01	-0.36	-0.18	-0.46	-0.07	0.74	-0.1	-0.27	0.32	-0.07	0.3	0.51	0.48	-0.28	-0.08	-0.25
YPL039W	-0.27	0.26	0.04	-0.12	-0.12	-0.24	0.23	-0.07	-0.26	0	-0.29	-0.34	-0.12	-0.03	0.32	-0.1	0.3	-0.15	0.56	-0.19	0.6	-0.13	0.04	0.06
YPL040C	-0.58	0	-0.23	-0.31	0.38	-0.39	0.68	-0.22	0.29	-0.01	-0.13	-0.23	0.61	-0.03		-0.2	0.37	-0.11	0.99	0.6		-0.52	-0.31	-0.66
YPL041C	-0.13	-0.1	-0.18	-0.27	0.24	-0.15	0.5	0.11	0.31	-0.21	-0.16	0.01	0.23	-0.13	0.32	-0.44	0.59	-0.44	0.85	-0.23	0.61	-0.42	-0.52	-0.38
YPL042C	0.56	0.38	0.14	-0.03	-0.2	0.12	0.36	-0.62	-0.19	0.15	-0.44	-0.03	-0.06	0.11	0.27	0.13	-0.59	0.02	0.07	0.15	0.21	0.03	-0.26	-0.26
YPL043W	0.31	0.38	-0.29	-0.22	0.38	-0.48	0.54	0	0.49	-0.67	-0.18		0.12	-0.31		-0.76			0.86	0.31		-0.1	0.03	-0.43
YPL044C	1.18	1.32	0.7	0.13	-0.42	0.32	0	0.36	-0.76	0.34	-0.4	-0.03	-0.84	-0.02	-0.48	0.52	-0.32	0.12	-0.34	0.53	-1.4	0.12	-0.36	-0.21
YPL045W		0.11	0.06	0.01	-0.13	-0.17	-0.06	0.11	-0.32	0.13	-0.23	0.03	-0.12	-0.01	0.2	-0.13	0.17	-0.27	0.32	0.19	0.23	0.16	-0.23	-0.03
YPL046C	-0.25	-0.11	-0.54	-0.33	0.23	0.22	0.14	0.5	0.25	0.05	-0.01	-0.25	0.05	-0.18	-0.01	-0.11	0.22	0.19	0.21	0.17	0.51	-0.41	-0.41	-0.11
YPL047W	0	-0.23	-0.25	-0.27	0.18	0.1	-0.11	0.58	0.21	0.18	-0.25	-0.06	-0.27	0.05	0.01	0.03	0.29	-0.15	1.14	-0.09	0.53	-0.76	-0.55	-0.29
YPL048W	0.03	0.03	0.27	0.62	-0.2	0.76	-0.06	0.38	-0.26	0.22	-0.56	0.14	-0.53	0.11	-0.07	0.39	-0.15	0.39	-0.69	-0.95	-0.11	0.13	0.06	0.05
